AverageRateBlockedDefTent__c,AverageRateBlockedDef__c,AverageRateBlockedTent__c,BlockedDefinite__c,BlockedDefTent__c,BlockedProspect__c,BlockedTentative__c,BudgetedRate__c,BudgetedRooms__c,DailyRoomInventory__c,EffectiveDateString__c,EffectiveDate__c,ExternalId__c,ForecastedOccupancy__c,GroupAvailable__c,GuestroomType__c,IsRunOfHouse__c,Location__c,MinimumAcceptableRate__c,Name,NIHRMMigrations_ExternalID__c,OccupancyPercentage__c,OutOfService__c,PhysicalRoomInventory__c,PMSOnlyTransient__c,RackRate__c,RevenueBlockedDef__c,RevenueBlockedTent__c,RevenueDefTent__c,RoomTypeAvailable__c,SourceSystemExternalId__c,TotalAverageRateBlockedDefTent__c,TotalAverageRateBlockedDef__c,TotalAverageRateBlockedTent__c,TotalBlockedDefinite__c,TotalBlockedDefTent__c,TotalBlockedProspect__c,TotalBlockedTentative__c,TotalDailyRoomInventory__c,TotalForecastedOccupancy__c,TotalGroupAvailable__c,TotalGroupCeiling__c,TotalOccupancyPercentage__c,TotalOutOfService__c,TotalPhysicalRoomInventory__c,TotalRevenueBlockedDef__c,TotalRevenueBlockedTent__c,TotalRevenueDefTent__c,TotalRoomTypeAvailable__c,TotalTransientProtected__c,TotalTransientSold__c,TransientProtectedRemaining__c,TransientProtected__c,TransientSold__c,UniqueExternalId__c
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-01-16,2026-01-16,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 1/16/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-01-17,2026-01-17,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 1/17/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-01-18,2026-01-18,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 1/18/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-01-19,2026-01-19,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 1/19/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-01-20,2026-01-20,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 1/20/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-01-21,2026-01-21,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 1/21/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-01-22,2026-01-22,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 1/22/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-01-23,2026-01-23,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 1/23/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-01-24,2026-01-24,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 1/24/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.0,2026-01-25,2026-01-25,,0.0,70.0,a4CKa000000m2bcMAA,false,a47Ka000000lhMlIAI,,Standard: 1/25/2026,,0.0,,70.0,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,
