Id,BlockedDefinite__c,GroupAvailable__c
a4JKa000000kRtUMAU,30,40
a4JKa000000kRtVMAU,5,65
a4JKa000000kRtWMAU,30,40
a4JKa000000kRtXMAU,30,40
a4JKa000000kRtYMAU,10,60
a4JKa000000kRtZMAU,15,55
a4JKa000000kRtaMAE,35,35
a4JKa000000kRtbMAE,5,65
a4JKa000000kRtcMAE,35,35
a4JKa000000kRtdMAE,5,65
a4JKa000000kRteMAE,50,20
a4JKa000000kRtfMAE,50,20
a4JKa000000kRtgMAE,15,55
a4JKa000000kRthMAE,40,30
a4JKa000000kRtiMAE,35,35
a4JKa000000kRtjMAE,10,60
a4JKa000000kRtkMAE,5,65
a4JKa000000kRtlMAE,20,50
a4JKa000000kRtmMAE,25,45
a4JKa000000kRtnMAE,20,50
a4JKa000000kRtoMAE,10,60
a4JKa000000kRtpMAE,25,45
a4JKa000000kRtqMAE,10,60
a4JKa000000kRtrMAE,30,40
a4JKa000000kRtsMAE,45,25
a4JKa000000kRttMAE,20,50
a4JKa000000kRtuMAE,45,25
a4JKa000000kRtvMAE,50,20
a4JKa000000kRtwMAE,45,25
a4JKa000000kRtxMAE,35,35
a4JKa000000kRtyMAE,15,55
a4JKa000000kRtzMAE,45,25
a4JKa000000kRu0MAE,35,35
a4JKa000000kRu1MAE,30,40
a4JKa000000kRu2MAE,45,25
a4JKa000000kRu3MAE,45,25
a4JKa000000kRu4MAE,50,20
a4JKa000000kRu5MAE,15,55
a4JKa000000kRu6MAE,20,50
a4JKa000000kRu7MAE,10,60
a4JKa000000kRu8MAE,5,65
a4JKa000000kRu9MAE,30,40
a4JKa000000kRuAMAU,30,40
a4JKa000000kRuBMAU,5,65
a4JKa000000kRuCMAU,35,35
a4JKa000000kRuDMAU,10,60
a4JKa000000kRuEMAU,10,60
a4JKa000000kRuFMAU,15,55
a4JKa000000kRuGMAU,35,35
a4JKa000000kRuHMAU,45,25
a4JKa000000kRuIMAU,40,30
a4JKa000000kRuJMAU,15,55
a4JKa000000kRuKMAU,15,55
a4JKa000000kRuLMAU,25,45
a4JKa000000kRuMMAU,15,55
a4JKa000000kRuNMAU,40,30
a4JKa000000kRuOMAU,40,30
a4JKa000000kRuPMAU,45,25
a4JKa000000kRuQMAU,35,35
a4JKa000000kRuRMAU,25,45
a4JKa000000kRuSMAU,45,25
a4JKa000000kRuTMAU,20,50
a4JKa000000kRuUMAU,20,50
a4JKa000000kRuVMAU,40,30
a4JKa000000kRuWMAU,50,20
a4JKa000000kRuXMAU,35,35
a4JKa000000kRuYMAU,30,40
a4JKa000000kRuZMAU,35,35
a4JKa000000kRuaMAE,20,50
a4JKa000000kRubMAE,20,50
a4JKa000000kRucMAE,10,60
a4JKa000000kRudMAE,20,50
a4JKa000000kRueMAE,45,25
a4JKa000000kRufMAE,40,30
a4JKa000000kRugMAE,40,30
a4JKa000000kRuhMAE,25,45
a4JKa000000kRuiMAE,5,65
a4JKa000000kRujMAE,10,60
a4JKa000000kRukMAE,45,25
a4JKa000000kRulMAE,35,35
a4JKa000000kRumMAE,50,20
a4JKa000000kRunMAE,5,65
a4JKa000000kRuoMAE,15,55
a4JKa000000kRupMAE,35,35
a4JKa000000kRuqMAE,20,50
a4JKa000000kRurMAE,25,45
a4JKa000000kRusMAE,5,65
a4JKa000000kRutMAE,35,35
a4JKa000000kRuuMAE,30,40
a4JKa000000kRuvMAE,15,55
a4JKa000000kRuwMAE,25,45
a4JKa000000kRuxMAE,30,40
a4JKa000000kRuyMAE,45,25
a4JKa000000kRuzMAE,45,25
a4JKa000000kRv0MAE,40,30
a4JKa000000kRv1MAE,45,25
a4JKa000000kRv2MAE,40,30
a4JKa000000kRv3MAE,50,20
a4JKa000000kRv4MAE,10,60
a4JKa000000kRv5MAE,50,20
a4JKa000000kRv6MAE,20,50
a4JKa000000kRv7MAE,5,65
a4JKa000000kRv8MAE,45,25
a4JKa000000kRv9MAE,35,35
a4JKa000000kRvAMAU,40,30
a4JKa000000kRvBMAU,5,65
a4JKa000000kRvCMAU,50,20
a4JKa000000kRvDMAU,25,45
a4JKa000000kRvEMAU,20,50
a4JKa000000kRvFMAU,15,55
a4JKa000000kRvGMAU,10,60
a4JKa000000kRvHMAU,30,40
a4JKa000000kRvIMAU,15,55
a4JKa000000kRvJMAU,40,30
a4JKa000000kRvKMAU,40,30
a4JKa000000kRvLMAU,20,50
