"_","Name","UniqueExternalId__c","ExternalId__c","SourceSystemExternalId__c","Location__r","IsActive__c","IsRootClassification__c"
"[RevenueClassification__c]","Food","","","","","true","true"
"[RevenueClassification__c]","Beverage","","","","","true","true"
"[RevenueClassification__c]","Resource","","","","","true","true"
"[RevenueClassification__c]","Audio Visual","","","","","true","true"
"[RevenueClassification__c]","Administrative Charge","","","","","true","true"
"[RevenueClassification__c]","Other","","","","","true","true"
"[RevenueClassification__c]","Function Room Rental","","","","","true","true"
"[RevenueClassification__c]","Custom Root 8","","","","","false","true"
"[RevenueClassification__c]","Custom Root 9","","","","","false","true"
"[RevenueClassification__c]","Custom Root 10","","","","","false","true"
"[RevenueClassification__c]","Custom Root 11","","","","","false","true"
"[RevenueClassification__c]","Custom Root 12","","","","","false","true"
"[RevenueClassification__c]","Custom Root 13","","","","","false","true"
"[RevenueClassification__c]","Custom Root 14","","","","","false","true"
"[RevenueClassification__c]","Custom Root 15","","","","","false","true"
