"_","Name","UniqueExternalId__c","ExternalId__c","SourceSystemExternalId__c","Location__r","Location__r.UniqueExternalId__c","IsActive__c","Description__c"
"[EventClassification__c]","Unassigned","","","","[Location__c]","","true",""
"[EventClassification__c]","Breakfast","","","","[Location__c]","","false",""
"[EventClassification__c]","Continental Breakfast","","","","[Location__c]","","false",""
"[EventClassification__c]","Meeting","","","","[Location__c]","","false",""
"[EventClassification__c]","Lunch","","","","[Location__c]","","false",""
"[EventClassification__c]","Reception","","","","[Location__c]","","false",""
"[EventClassification__c]","Dinner","","","","[Location__c]","","false",""
"[EventClassification__c]","Morning Break","","","","[Location__c]","","false",""
"[EventClassification__c]","Afternoon Break","","","","[Location__c]","","false",""
"[EventClassification__c]","24 Hour Hold","","","","[Location__c]","","false",""
"[EventClassification__c]","Setup","","","","[Location__c]","","false",""
"[EventClassification__c]","Teardown","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Breakfast","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Break","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Morning Break","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Lunch","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Afternoon Break","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Meeting","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Dinner","","","","[Location__c]","","false",""
"[EventClassification__c]","Unassigned","","","","[Location__c]","","true",""
"[EventClassification__c]","Breakfast","","","","[Location__c]","","false",""
"[EventClassification__c]","Continental Breakfast","","","","[Location__c]","","false",""
"[EventClassification__c]","Meeting","","","","[Location__c]","","false",""
"[EventClassification__c]","Lunch","","","","[Location__c]","","false",""
"[EventClassification__c]","Reception","","","","[Location__c]","","false",""
"[EventClassification__c]","Dinner","","","","[Location__c]","","false",""
"[EventClassification__c]","Morning Break","","","","[Location__c]","","false",""
"[EventClassification__c]","Afternoon Break","","","","[Location__c]","","false",""
"[EventClassification__c]","24 Hour Hold","","","","[Location__c]","","false",""
"[EventClassification__c]","Setup","","","","[Location__c]","","false",""
"[EventClassification__c]","Teardown","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Breakfast","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Break","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Morning Break","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Lunch","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Afternoon Break","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Meeting","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Dinner","","","","[Location__c]","","false",""
"[EventClassification__c]","Unassigned","","","","[Location__c]","","true",""
"[EventClassification__c]","Breakfast","","","","[Location__c]","","true",""
"[EventClassification__c]","Continental Breakfast","","","","[Location__c]","","true",""
"[EventClassification__c]","Meeting","","","","[Location__c]","","false",""
"[EventClassification__c]","Lunch","","","","[Location__c]","","true",""
"[EventClassification__c]","Reception","","","","[Location__c]","","false",""
"[EventClassification__c]","Dinner","","","","[Location__c]","","true",""
"[EventClassification__c]","Morning Break","","","","[Location__c]","","false",""
"[EventClassification__c]","Afternoon Break","","","","[Location__c]","","false",""
"[EventClassification__c]","24 Hour Hold","","","","[Location__c]","","true",""
"[EventClassification__c]","Setup","","","","[Location__c]","","true",""
"[EventClassification__c]","Teardown","","","","[Location__c]","","true",""
"[EventClassification__c]","Package Breakfast","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Break","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Morning Break","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Lunch","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Afternoon Break","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Meeting","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Dinner","","","","[Location__c]","","false",""
"[EventClassification__c]","Unassigned","","","","[Location__c]","","true",""
"[EventClassification__c]","Breakfast","","","","[Location__c]","","false",""
"[EventClassification__c]","Continental Breakfast","","","","[Location__c]","","false",""
"[EventClassification__c]","Meeting","","","","[Location__c]","","false",""
"[EventClassification__c]","Lunch","","","","[Location__c]","","false",""
"[EventClassification__c]","Reception","","","","[Location__c]","","false",""
"[EventClassification__c]","Dinner","","","","[Location__c]","","false",""
"[EventClassification__c]","Morning Break","","","","[Location__c]","","false",""
"[EventClassification__c]","Afternoon Break","","","","[Location__c]","","false",""
"[EventClassification__c]","24 Hour Hold","","","","[Location__c]","","false",""
"[EventClassification__c]","Setup","","","","[Location__c]","","false",""
"[EventClassification__c]","Teardown","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Breakfast","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Break","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Morning Break","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Lunch","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Afternoon Break","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Meeting","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Dinner","","","","[Location__c]","","false",""
"[EventClassification__c]","Meditation Session","","","","[Location__c]","","true",""
"[EventClassification__c]","Golf Tournament","","","","[Location__c]","","true",""
"[EventClassification__c]","Yoga Session","","","","[Location__c]","","true",""
"[EventClassification__c]","Unassigned","","","","[Location__c]","","true",""
"[EventClassification__c]","Breakfast","","","","[Location__c]","","true",""
"[EventClassification__c]","Continental Breakfast","","","","[Location__c]","","true",""
"[EventClassification__c]","Meeting","","","","[Location__c]","","true",""
"[EventClassification__c]","Lunch","","","","[Location__c]","","true",""
"[EventClassification__c]","Reception","","","","[Location__c]","","true",""
"[EventClassification__c]","Dinner","","","","[Location__c]","","true",""
"[EventClassification__c]","Morning Break","","","","[Location__c]","","true",""
"[EventClassification__c]","Afternoon Break","","","","[Location__c]","","true",""
"[EventClassification__c]","24 Hour Hold","","","","[Location__c]","","true",""
"[EventClassification__c]","Setup","","","","[Location__c]","","true",""
"[EventClassification__c]","Teardown","","","","[Location__c]","","true",""
"[EventClassification__c]","Package Breakfast","","","","[Location__c]","","true",""
"[EventClassification__c]","Package Break","","","","[Location__c]","","true",""
"[EventClassification__c]","Package Morning Break","","","","[Location__c]","","true",""
"[EventClassification__c]","Package Lunch","","","","[Location__c]","","true",""
"[EventClassification__c]","Package Afternoon Break","","","","[Location__c]","","true",""
"[EventClassification__c]","Package Meeting","","","","[Location__c]","","true",""
"[EventClassification__c]","Package Dinner","","","","[Location__c]","","true",""
"[EventClassification__c]","Unassigned","","","","[Location__c]","","true",""
"[EventClassification__c]","Breakfast","","","","[Location__c]","","false",""
"[EventClassification__c]","Continental Breakfast","","","","[Location__c]","","false",""
"[EventClassification__c]","Meeting","","","","[Location__c]","","false",""
"[EventClassification__c]","Lunch","","","","[Location__c]","","false",""
"[EventClassification__c]","Reception","","","","[Location__c]","","false",""
"[EventClassification__c]","Dinner","","","","[Location__c]","","false",""
"[EventClassification__c]","Morning Break","","","","[Location__c]","","false",""
"[EventClassification__c]","Afternoon Break","","","","[Location__c]","","false",""
"[EventClassification__c]","24 Hour Hold","","","","[Location__c]","","false",""
"[EventClassification__c]","Setup","","","","[Location__c]","","false",""
"[EventClassification__c]","Teardown","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Breakfast","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Break","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Morning Break","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Lunch","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Afternoon Break","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Meeting","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Dinner","","","","[Location__c]","","false",""
"[EventClassification__c]","Unassigned","","","","[Location__c]","","true",""
"[EventClassification__c]","Breakfast","","","","[Location__c]","","false",""
"[EventClassification__c]","Continental Breakfast","","","","[Location__c]","","false",""
"[EventClassification__c]","Meeting","","","","[Location__c]","","false",""
"[EventClassification__c]","Lunch","","","","[Location__c]","","false",""
"[EventClassification__c]","Reception","","","","[Location__c]","","false",""
"[EventClassification__c]","Dinner","","","","[Location__c]","","false",""
"[EventClassification__c]","Morning Break","","","","[Location__c]","","false",""
"[EventClassification__c]","Afternoon Break","","","","[Location__c]","","false",""
"[EventClassification__c]","24 Hour Hold","","","","[Location__c]","","false",""
"[EventClassification__c]","Setup","","","","[Location__c]","","false",""
"[EventClassification__c]","Teardown","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Breakfast","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Break","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Morning Break","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Lunch","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Afternoon Break","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Meeting","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Dinner","","","","[Location__c]","","false",""
"[EventClassification__c]","Unassigned","","","","[Location__c]","","true",""
"[EventClassification__c]","Breakfast","","","","[Location__c]","","false",""
"[EventClassification__c]","Continental Breakfast","","","","[Location__c]","","false",""
"[EventClassification__c]","Meeting","","","","[Location__c]","","false",""
"[EventClassification__c]","Lunch","","","","[Location__c]","","false",""
"[EventClassification__c]","Reception","","","","[Location__c]","","false",""
"[EventClassification__c]","Dinner","","","","[Location__c]","","false",""
"[EventClassification__c]","Morning Break","","","","[Location__c]","","false",""
"[EventClassification__c]","Afternoon Break","","","","[Location__c]","","false",""
"[EventClassification__c]","24 Hour Hold","","","","[Location__c]","","false",""
"[EventClassification__c]","Setup","","","","[Location__c]","","false",""
"[EventClassification__c]","Teardown","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Breakfast","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Break","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Morning Break","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Lunch","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Afternoon Break","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Meeting","","","","[Location__c]","","false",""
"[EventClassification__c]","Package Dinner","","","","[Location__c]","","false",""
