Name,UniqueExternalId__c,ExternalId__c,SourceSystemExternalId__c,Location__r,Location__r.UniqueExternalId__c,IsActive__c,Description__c
Unassigned,,,,[Location__c],,true,
Breakfast,,,,[Location__c],,false,
Continental Breakfast,,,,[Location__c],,false,
Meeting,,,,[Location__c],,false,
Lunch,,,,[Location__c],,false,
Reception,,,,[Location__c],,false,
Dinner,,,,[Location__c],,false,
Morning Break,,,,[Location__c],,false,
Afternoon Break,,,,[Location__c],,false,
24 Hour Hold,,,,[Location__c],,false,
Setup,,,,[Location__c],,false,
Teardown,,,,[Location__c],,false,
Package Breakfast,,,,[Location__c],,false,
Package Break,,,,[Location__c],,false,
Package Morning Break,,,,[Location__c],,false,
Package Lunch,,,,[Location__c],,false,
Package Afternoon Break,,,,[Location__c],,false,
Package Meeting,,,,[Location__c],,false,
Package Dinner,,,,[Location__c],,false,
Unassigned,,,,[Location__c],,true,
Breakfast,,,,[Location__c],,false,
Continental Breakfast,,,,[Location__c],,false,
Meeting,,,,[Location__c],,false,
Lunch,,,,[Location__c],,false,
Reception,,,,[Location__c],,false,
Dinner,,,,[Location__c],,false,
Morning Break,,,,[Location__c],,false,
Afternoon Break,,,,[Location__c],,false,
24 Hour Hold,,,,[Location__c],,false,
Setup,,,,[Location__c],,false,
Teardown,,,,[Location__c],,false,
Package Breakfast,,,,[Location__c],,false,
Package Break,,,,[Location__c],,false,
Package Morning Break,,,,[Location__c],,false,
Package Lunch,,,,[Location__c],,false,
Package Afternoon Break,,,,[Location__c],,false,
Package Meeting,,,,[Location__c],,false,
Package Dinner,,,,[Location__c],,false,
Unassigned,,,,[Location__c],,true,
Breakfast,,,,[Location__c],,true,
Continental Breakfast,,,,[Location__c],,true,
Meeting,,,,[Location__c],,false,
Lunch,,,,[Location__c],,true,
Reception,,,,[Location__c],,false,
Dinner,,,,[Location__c],,true,
Morning Break,,,,[Location__c],,false,
Afternoon Break,,,,[Location__c],,false,
24 Hour Hold,,,,[Location__c],,true,
Setup,,,,[Location__c],,true,
Teardown,,,,[Location__c],,true,
Package Breakfast,,,,[Location__c],,false,
Package Break,,,,[Location__c],,false,
Package Morning Break,,,,[Location__c],,false,
Package Lunch,,,,[Location__c],,false,
Package Afternoon Break,,,,[Location__c],,false,
Package Meeting,,,,[Location__c],,false,
Package Dinner,,,,[Location__c],,false,
Unassigned,,,,[Location__c],,true,
Breakfast,,,,[Location__c],,false,
Continental Breakfast,,,,[Location__c],,false,
Meeting,,,,[Location__c],,false,
Lunch,,,,[Location__c],,false,
Reception,,,,[Location__c],,false,
Dinner,,,,[Location__c],,false,
Morning Break,,,,[Location__c],,false,
Afternoon Break,,,,[Location__c],,false,
24 Hour Hold,,,,[Location__c],,false,
Setup,,,,[Location__c],,false,
Teardown,,,,[Location__c],,false,
Package Breakfast,,,,[Location__c],,false,
Package Break,,,,[Location__c],,false,
Package Morning Break,,,,[Location__c],,false,
Package Lunch,,,,[Location__c],,false,
Package Afternoon Break,,,,[Location__c],,false,
Package Meeting,,,,[Location__c],,false,
Package Dinner,,,,[Location__c],,false,
Meditation Session,,,,[Location__c],,true,
Golf Tournament,,,,[Location__c],,true,
Yoga Session,,,,[Location__c],,true,
Unassigned,,,,[Location__c],,true,
Breakfast,,,,[Location__c],,true,
Continental Breakfast,,,,[Location__c],,true,
Meeting,,,,[Location__c],,true,
Lunch,,,,[Location__c],,true,
Reception,,,,[Location__c],,true,
Dinner,,,,[Location__c],,true,
Morning Break,,,,[Location__c],,true,
Afternoon Break,,,,[Location__c],,true,
24 Hour Hold,,,,[Location__c],,true,
Setup,,,,[Location__c],,true,
Teardown,,,,[Location__c],,true,
Package Breakfast,,,,[Location__c],,true,
Package Break,,,,[Location__c],,true,
Package Morning Break,,,,[Location__c],,true,
Package Lunch,,,,[Location__c],,true,
Package Afternoon Break,,,,[Location__c],,true,
Package Meeting,,,,[Location__c],,true,
Package Dinner,,,,[Location__c],,true,
Unassigned,,,,[Location__c],,true,
Breakfast,,,,[Location__c],,false,
Continental Breakfast,,,,[Location__c],,false,
Meeting,,,,[Location__c],,false,
Lunch,,,,[Location__c],,false,
Reception,,,,[Location__c],,false,
Dinner,,,,[Location__c],,false,
Morning Break,,,,[Location__c],,false,
Afternoon Break,,,,[Location__c],,false,
24 Hour Hold,,,,[Location__c],,false,
Setup,,,,[Location__c],,false,
Teardown,,,,[Location__c],,false,
Package Breakfast,,,,[Location__c],,false,
Package Break,,,,[Location__c],,false,
Package Morning Break,,,,[Location__c],,false,
Package Lunch,,,,[Location__c],,false,
Package Afternoon Break,,,,[Location__c],,false,
Package Meeting,,,,[Location__c],,false,
Package Dinner,,,,[Location__c],,false,
Unassigned,,,,[Location__c],,true,
Breakfast,,,,[Location__c],,false,
Continental Breakfast,,,,[Location__c],,false,
Meeting,,,,[Location__c],,false,
Lunch,,,,[Location__c],,false,
Reception,,,,[Location__c],,false,
Dinner,,,,[Location__c],,false,
Morning Break,,,,[Location__c],,false,
Afternoon Break,,,,[Location__c],,false,
24 Hour Hold,,,,[Location__c],,false,
Setup,,,,[Location__c],,false,
Teardown,,,,[Location__c],,false,
Package Breakfast,,,,[Location__c],,false,
Package Break,,,,[Location__c],,false,
Package Morning Break,,,,[Location__c],,false,
Package Lunch,,,,[Location__c],,false,
Package Afternoon Break,,,,[Location__c],,false,
Package Meeting,,,,[Location__c],,false,
Package Dinner,,,,[Location__c],,false,
Unassigned,,,,[Location__c],,true,
Breakfast,,,,[Location__c],,false,
Continental Breakfast,,,,[Location__c],,false,
Meeting,,,,[Location__c],,false,
Lunch,,,,[Location__c],,false,
Reception,,,,[Location__c],,false,
Dinner,,,,[Location__c],,false,
Morning Break,,,,[Location__c],,false,
Afternoon Break,,,,[Location__c],,false,
24 Hour Hold,,,,[Location__c],,false,
Setup,,,,[Location__c],,false,
Teardown,,,,[Location__c],,false,
Package Breakfast,,,,[Location__c],,false,
Package Break,,,,[Location__c],,false,
Package Morning Break,,,,[Location__c],,false,
Package Lunch,,,,[Location__c],,false,
Package Afternoon Break,,,,[Location__c],,false,
Package Meeting,,,,[Location__c],,false,
Package Dinner,,,,[Location__c],,false,
