Name,UniqueExternalId__c,ExternalId__c,SourceSystemExternalId__c,Location__r,IsActive__c,SetupValueTypeIndexed__c,Location__r.UniqueExternalId__c
Individual Pays Own,,,,,true,BillingInformation,
Bill to Master,,,,,true,BillingInformation,
Citywide,,,,,true,BookingType,
Meeting,,,,,true,BookingType,
Social,,,,,true,BookingType,
Wedding,,,,,true,BookingType,
Tournament,,,,,true,BookingType,
In-House,,,,,true,BookingType,
Conference,,,,,true,BookingType,
Incentive,,,,,true,BookingType,
Tour,,,,,true,BookingType,
Overflow,,,,,true,BookingType,
Added Menu/Item,,,,,true,ChangeLogType,
Deleted Menu/Item,,,,,true,ChangeLogType,
Time Change,,,,,true,ChangeLogType,
Setup Change,,,,,true,ChangeLogType,
Pop-up Menu,,,,,true,ChangeLogType,
Revised Menu,,,,,true,ChangeLogType,
Attendance,,,,,true,ChangeLogType,
Circle of Chairs,,,,,true,FunctionRoomSetup,
Classroom 2 per table,,,,,true,FunctionRoomSetup,
Classroom 3 per table,,,,,true,FunctionRoomSetup,
Cocktail Rounds,,,,,true,FunctionRoomSetup,
Conference/Boardroom,,,,,true,FunctionRoomSetup,
Crescent Rounds,,,,,true,FunctionRoomSetup,
Empty Room,,,,,true,FunctionRoomSetup,
Existing,,,,,true,FunctionRoomSetup,
Flow,,,,,true,FunctionRoomSetup,
Hollow Square,,,,,true,FunctionRoomSetup,
Lounge,,,,,true,FunctionRoomSetup,
Registration,,,,,true,FunctionRoomSetup,
Rounds of 10,,,,,true,FunctionRoomSetup,
Rounds of 12,,,,,true,FunctionRoomSetup,
Rounds of 6,,,,,true,FunctionRoomSetup,
Rounds of 8,,,,,true,FunctionRoomSetup,
See Diagram,,,,,true,FunctionRoomSetup,
U-Shape,,,,,true,FunctionRoomSetup,
Individual Call-In,,,,,true,HousingMethod,
Internet,,,,,true,HousingMethod,
Rooming List,,,,,true,HousingMethod,
Shopping,,,,,true,InquiryRating,
Interested,,,,,true,InquiryRating,
Likely to Book,,,,,true,InquiryRating,
Breakfast,,,,,true,ItemCategory,
Lunch,,,,,true,ItemCategory,
Dinner,,,,,true,ItemCategory,
Breaks,,,,,true,ItemCategory,
Reception,,,,,true,ItemCategory,
Cash Bar,,,,,true,ItemCategory,
Hosted Bar,,,,,true,ItemCategory,
Client Referral,,,,,true,LeadSource,
Cold Call,,,,,true,LeadSource,
Convention & Visitors Bureau,,,,,true,LeadSource,
Cvent,,,,,true,LeadSource,
Destination Management Company,,,,,true,LeadSource,
Direct Marketing,,,,,true,LeadSource,
Hotel Referral,,,,,true,LeadSource,
Inquiry,,,,,true,LeadSource,
National Sales Office,,,,,true,LeadSource,
Personal Office Visit,,,,,true,LeadSource,
Repeat Business,,,,,true,LeadSource,
Sales Blitz,,,,,true,LeadSource,
Social Media,,,,,true,LeadSource,
Solicitation,,,,,true,LeadSource,
Lanyon/Starcite,,,,,true,LeadSource,
Third Party,,,,,true,LeadSource,
Trade Show,,,,,true,LeadSource,
Walk In,,,,,true,LeadSource,
Website,,,,,true,LeadSource,
Dates Changed,,,,,true,BookingStatusReason,
Disaster,,,,,true,BookingStatusReason,
Entry Error,,,,,true,BookingStatusReason,
Function Space Unavailable,,,,,true,BookingStatusReason,
Guest Room Pattern Unacceptable,,,,,true,BookingStatusReason,
Guest Rooms Unavailable,,,,,true,BookingStatusReason,
Lead Did Not Materialize,,,,,true,BookingStatusReason,
No Reason Provided,,,,,true,BookingStatusReason,
No Response,,,,,true,BookingStatusReason,
Other See Notes,,,,,true,BookingStatusReason,
Rates Too High,,,,,true,BookingStatusReason,
Selected Another City,,,,,true,BookingStatusReason,
Selected Another Facility,,,,,true,BookingStatusReason,
Group Size Guestrooms,,,,,true,BookingStatusReason,
Group Size Function Space,,,,,true,BookingStatusReason,
Contract Terms,,,,,true,BookingStatusReason,
Amenities,,,,,true,BookingStatusReason,
Renovation,,,,,true,BookingStatusReason,
Competitor In-House,,,,,true,BookingStatusReason,
Credit Not Approved,,,,,true,BookingStatusReason,
Previous Experience,,,,,true,BookingStatusReason,
AUTO: Turndown,,,,,true,BookingStatusReason,
Entry Error,,,,,true,VolumeContractStatusReason,
Guest Room Pattern Unacceptable,,,,,true,VolumeContractStatusReason,
Lead Did Not Materialize,,,,,true,VolumeContractStatusReason,
No Reason Provided,,,,,true,VolumeContractStatusReason,
Other See Notes,,,,,true,VolumeContractStatusReason,
Rates Too High,,,,,true,VolumeContractStatusReason,
Selected Another Facility,,,,,true,VolumeContractStatusReason,
Airline Crew,,,,,true,VolumeContractType,
Athletic Team,,,,,true,VolumeContractType,
Business Travel,,,,,true,VolumeContractType,
Corporate,,,,,true,VolumeContractType,
Extended Stay,,,,,true,VolumeContractType,
Negotiated Rate,,,,,true,VolumeContractType,
Association,,,,,true,MarketSegment,
Corporate,,,,,true,MarketSegment,
Government,,,,,true,MarketSegment,
In House,,,,,true,MarketSegment,
SMERF,,,,,true,MarketSegment,
Tour & Travel,,,,,true,MarketSegment,
US Midwest,,,,,true,Region,
US Northeast,,,,,true,Region,
US Northwest,,,,,true,Region,
US Southeast,,,,,true,Region,
US Southwest,,,,,true,Region,
Canada Eastern,,,,,true,Region,
Canada Western,,,,,true,Region,
