Name,UniqueExternalId__c,ExternalId__c,SourceSystemExternalId__c,Description__c,StartDate__c,EndDate__c
Default Tax Group,,,,Enter your property's taxes,,
Exempt Tax Group,,,,Enter your property's taxes,,
Default Tax Group,,,,Enter your property's taxes,,
Exempt Tax Group,,,,Enter your property's taxes,,
Default Tax Group,,,,Enter your property's taxes,,
Exempt Tax Group,,,,Enter your property's taxes,,
Default Tax Group,,,,Enter your property's taxes,,
Exempt Tax Group,,,,Enter your property's taxes,,
Default Tax Group,,,,Enter your property's taxes,,
Exempt Tax Group,,,,Enter your property's taxes,,
Default Tax Group,,,,Enter your property's taxes,,
Exempt Tax Group,,,,Enter your property's taxes,,
Default Tax Group,,,,Enter your property's taxes,,
Exempt Tax Group,,,,Enter your property's taxes,,
Default Tax Group,,,,Enter your property's taxes,,
Exempt Tax Group,,,,Enter your property's taxes,,
